Array_size,Algorithm,Time,Trial_no
10,Bubble_sort,0.03981590270996094,1
10,Bubble_sort,0.030994415283203125,2
10,Bubble_sort,0.030040740966796875,3
10,Bubble_sort,0.024080276489257812,4
10,Bubble_sort,0.025987625122070312,5
10,Bubble_sort,0.0247955322265625,6
10,Bubble_sort,0.027894973754882812,7
10,Bubble_sort,0.025033950805664062,8
10,Bubble_sort,0.026226043701171875,9
10,Bubble_sort,0.02193450927734375,10
50,Bubble_sort,0.553131103515625,1
50,Bubble_sort,0.4773139953613281,2
50,Bubble_sort,0.36787986755371094,3
50,Bubble_sort,0.3800392150878906,4
50,Bubble_sort,0.39887428283691406,5
50,Bubble_sort,0.4143714904785156,6
50,Bubble_sort,0.3840923309326172,7
50,Bubble_sort,0.46062469482421875,8
50,Bubble_sort,0.39386749267578125,9
50,Bubble_sort,0.3688335418701172,10
100,Bubble_sort,1.5599727630615234,1
100,Bubble_sort,1.3349056243896484,2
100,Bubble_sort,1.3051033020019531,3
100,Bubble_sort,1.4941692352294922,4
100,Bubble_sort,1.3000965118408203,5
100,Bubble_sort,1.1227130889892578,6
100,Bubble_sort,1.0530948638916016,7
100,Bubble_sort,1.020193099975586,8
100,Bubble_sort,1.0700225830078125,9
100,Bubble_sort,0.9720325469970703,10
125,Bubble_sort,1.5490055084228516,1
125,Bubble_sort,1.4989376068115234,2
125,Bubble_sort,1.3837814331054688,3
125,Bubble_sort,1.3968944549560547,4
125,Bubble_sort,1.3098716735839844,5
125,Bubble_sort,1.3327598571777344,6
125,Bubble_sort,1.2748241424560547,7
125,Bubble_sort,1.3687610626220703,8
125,Bubble_sort,1.3060569763183594,9
125,Bubble_sort,1.1868476867675781,10
250,Bubble_sort,4.659891128540039,1
250,Bubble_sort,4.717111587524414,2
250,Bubble_sort,4.441022872924805,3
250,Bubble_sort,4.456996917724609,4
250,Bubble_sort,4.188060760498047,5
250,Bubble_sort,4.166841506958008,6
250,Bubble_sort,4.378795623779297,7
250,Bubble_sort,5.002021789550781,8
250,Bubble_sort,4.430055618286133,9
250,Bubble_sort,4.225015640258789,10
500,Bubble_sort,18.51487159729004,1
500,Bubble_sort,18.711090087890625,2
500,Bubble_sort,22.21226692199707,3
500,Bubble_sort,18.568992614746094,4
500,Bubble_sort,18.69511604309082,5
500,Bubble_sort,17.92597770690918,6
500,Bubble_sort,18.201112747192383,7
500,Bubble_sort,17.968177795410156,8
500,Bubble_sort,18.2802677154541,9
500,Bubble_sort,18.027067184448242,10
750,Bubble_sort,42.417287826538086,1
750,Bubble_sort,44.41690444946289,2
750,Bubble_sort,44.71921920776367,3
750,Bubble_sort,45.33505439758301,4
750,Bubble_sort,43.29705238342285,5
750,Bubble_sort,46.82326316833496,6
750,Bubble_sort,43.5791015625,7
750,Bubble_sort,44.74496841430664,8
750,Bubble_sort,43.70403289794922,9
750,Bubble_sort,43.229103088378906,10
1000,Bubble_sort,78.66477966308594,1
1000,Bubble_sort,77.48603820800781,2
1000,Bubble_sort,77.61788368225098,3
1000,Bubble_sort,80.35612106323242,4
1000,Bubble_sort,79.09512519836426,5
1000,Bubble_sort,77.12411880493164,6
1000,Bubble_sort,76.31778717041016,7
1000,Bubble_sort,76.72619819641113,8
1000,Bubble_sort,77.54898071289062,9
1000,Bubble_sort,79.75411415100098,10
10,Insertion_sort,0.0069141387939453125,1
10,Insertion_sort,0.0059604644775390625,2
10,Insertion_sort,0.003814697265625,3
10,Insertion_sort,0.0040531158447265625,4
10,Insertion_sort,0.0030994415283203125,5
10,Insertion_sort,0.004291534423828125,6
10,Insertion_sort,0.0050067901611328125,7
10,Insertion_sort,0.0040531158447265625,8
10,Insertion_sort,0.02193450927734375,9
10,Insertion_sort,0.006198883056640625,10
50,Insertion_sort,0.13780593872070312,1
50,Insertion_sort,0.07414817810058594,2
50,Insertion_sort,0.07390975952148438,3
50,Insertion_sort,0.0820159912109375,4
50,Insertion_sort,0.09322166442871094,5
50,Insertion_sort,0.08893013000488281,6
50,Insertion_sort,0.08487701416015625,7
50,Insertion_sort,0.08988380432128906,8
50,Insertion_sort,0.08487701416015625,9
50,Insertion_sort,0.09298324584960938,10
100,Insertion_sort,0.4391670227050781,1
100,Insertion_sort,0.3876686096191406,2
100,Insertion_sort,0.3268718719482422,3
100,Insertion_sort,0.4029273986816406,4
100,Insertion_sort,0.43010711669921875,5
100,Insertion_sort,0.35309791564941406,6
100,Insertion_sort,0.38504600524902344,7
100,Insertion_sort,0.30803680419921875,8
100,Insertion_sort,0.3409385681152344,9
100,Insertion_sort,0.3600120544433594,10
125,Insertion_sort,0.4901885986328125,1
125,Insertion_sort,0.5390644073486328,2
125,Insertion_sort,0.5729198455810547,3
125,Insertion_sort,0.5481243133544922,4
125,Insertion_sort,0.5538463592529297,5
125,Insertion_sort,0.5350112915039062,6
125,Insertion_sort,0.5671977996826172,7
125,Insertion_sort,0.6051063537597656,8
125,Insertion_sort,0.6768703460693359,9
125,Insertion_sort,0.5888938903808594,10
250,Insertion_sort,2.3391246795654297,1
250,Insertion_sort,2.2459030151367188,2
250,Insertion_sort,2.3641586303710938,3
250,Insertion_sort,2.2780895233154297,4
250,Insertion_sort,2.3958683013916016,5
250,Insertion_sort,2.2110939025878906,6
250,Insertion_sort,2.184152603149414,7
250,Insertion_sort,2.285003662109375,8
250,Insertion_sort,2.4242401123046875,9
250,Insertion_sort,2.5489330291748047,10
500,Insertion_sort,10.317087173461914,1
500,Insertion_sort,10.343074798583984,2
500,Insertion_sort,10.38503646850586,3
500,Insertion_sort,10.247230529785156,4
500,Insertion_sort,9.606361389160156,5
500,Insertion_sort,10.392189025878906,6
500,Insertion_sort,10.94198226928711,7
500,Insertion_sort,9.76705551147461,8
500,Insertion_sort,9.89389419555664,9
500,Insertion_sort,10.059118270874023,10
750,Insertion_sort,24.35016632080078,1
750,Insertion_sort,23.295164108276367,2
750,Insertion_sort,23.108243942260742,3
750,Insertion_sort,24.423837661743164,4
