Array_size,250,500,750,1000,1500,3000
Bubble_sort,4.032,11.493,27.473,49.13,113.669,483.296
Insertion_sort,0.052,0.078,0.114,0.157,0.232,0.468
Merge_sort,0.598,1.177,1.947,2.666,4.098,9.606
Quick_sort,2.632,13.864,25.321,43.64,101.524,386.709
Bucket_sort,0.311,0.34,0.471,0.628,0.929,1.925
